"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 19:44:33 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","245","","CRUD notebook feature","","Create notebook and get it","","Create notebook and get it","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:34 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","159","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:33 GMT 2023","Fri Dec 01 19:44:33 GMT 2023","126","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid id","","Get notebook with invalid id","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:33 GMT 2023","770","","CRUD notebook feature [ERROR cases]","","Get notebook with invalid data","","Get notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Dec 01 19:44:34 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","185","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:33 GMT 2023","940","","CRUD notebook feature [ERROR cases]","","Create notebooks with same name","","Create notebooks with same name","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Dec 01 19:44:33 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","573","","Notebook database feature","","Create notebook and check is present inside the database","","Create notebook and check is present inside the database","  Create, read, update and delete notebooks and check database"
"passed","Fri Dec 01 19:44:33 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","490","","Notebook database feature","","Create notebook, update it and check is updated inside the database also","","Create notebook, update it and check is updated inside the database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Dec 01 19:44:34 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","411","","CRUD notebook feature","","Create notebook and update it","","Create notebook and update it","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:33 GMT 2023","495","","CRUD notebook feature [ERROR cases]","","Create notebook with invalid data","","Create notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Dec 01 19:44:33 GMT 2023","Fri Dec 01 19:44:33 GMT 2023","386","","CRUD notebook feature [ERROR cases]","","Get notebooks with invalid query params","","Get notebooks with invalid query params","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:33 GMT 2023","893","","CRUD notebook feature [ERROR cases]","","Delete notebook with invalid data","","Delete notebook with invalid data","  Create, read, update and delete notebooks with invalid data"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","1784","","CRUD notebook feature","","Create notebook and delete it","","Create notebook and delete it","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:34 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","107","","CRUD notebook feature","","Update existing notebook with id 2","","Update existing notebook with id 2","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","1569","","Notebook database feature","","Create notebook, delete it and check is removed from database also","","Create notebook, delete it and check is removed from database also","  Create, read, update and delete notebooks and check database"
"passed","Fri Dec 01 19:44:32 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","1405","","CRUD notebook feature","","Create notebook and check is present inside the list","","Create notebook and check is present inside the list","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:34 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","103","","CRUD notebook feature","","Update existing notebook with id 1","","Update existing notebook with id 1","  Create, read, update and delete notebooks"
"passed","Fri Dec 01 19:44:33 GMT 2023","Fri Dec 01 19:44:34 GMT 2023","505","","CRUD notebook feature [ERROR cases]","","Create notebook and update it with invalid data","","Create notebook and update it with invalid data","  Create, read, update and delete notebooks with invalid data"
